domain,subdomain,track_name,skills,description,pathway_json,source,model_used
Technology,Frontend Engineering,Frontend Developer,"HTML, CSS, JavaScript, React, Accessibility, Testing",Builds responsive user interfaces and client-side application experiences.,"[{""phaseName"":""Phase 1: HTML Foundations"",""items"":[{""title"":""[Free YouTube] Learn HTML fundamentals for Frontend Developer"",""resourceUrl"":""https://www.youtube.com/results?search_query=HTML%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Frontend Developer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured HTML course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=HTML"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: CSS Core Tools"",""items"":[{""title"":""[Free YouTube] Practice CSS with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=CSS%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official CSS references and examples"",""resourceUrl"":""https://www.google.com/search?q=CSS%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study CSS with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=CSS"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: JavaScript Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Frontend Developer project using JavaScript"",""resourceUrl"":""https://www.youtube.com/results?search_query=JavaScript%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Frontend Developer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Frontend%20Developer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Frontend Developer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Frontend%20Developer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Frontend Developer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Frontend%20Developer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,Backend Engineering,Backend Developer,"Node.js, Python, APIs, SQL, Authentication, System Design","Builds server-side APIs, data services, and business logic for applications.","[{""phaseName"":""Phase 1: Node.js Foundations"",""items"":[{""title"":""[Free YouTube] Learn Node.js fundamentals for Backend Developer"",""resourceUrl"":""https://www.youtube.com/results?search_query=Node.js%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Backend Developer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Node.js course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Node.js"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Python Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Python with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Python%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Python references and examples"",""resourceUrl"":""https://www.google.com/search?q=Python%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Python with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Python"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: APIs Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Backend Developer project using APIs"",""resourceUrl"":""https://www.youtube.com/results?search_query=APIs%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Backend Developer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Backend%20Developer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Backend Developer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Backend%20Developer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Backend Developer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Backend%20Developer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,Full Stack Engineering,Full Stack Developer,"React, Node.js, SQL, REST APIs, Git, Deployment","Builds end-to-end web applications across frontend, backend, and databases.","[{""phaseName"":""Phase 1: React Foundations"",""items"":[{""title"":""[Free YouTube] Learn React fundamentals for Full Stack Developer"",""resourceUrl"":""https://www.youtube.com/results?search_query=React%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Full Stack Developer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured React course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=React"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Node.js Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Node.js with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Node.js%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Node.js references and examples"",""resourceUrl"":""https://www.google.com/search?q=Node.js%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Node.js with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Node.js"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: SQL Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Full Stack Developer project using SQL"",""resourceUrl"":""https://www.youtube.com/results?search_query=SQL%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Full Stack Developer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Full%20Stack%20Developer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Full Stack Developer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Full%20Stack%20Developer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Full Stack Developer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Full%20Stack%20Developer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,Mobile Development,Mobile App Developer,"React Native, Flutter, Kotlin, Swift, APIs, App Store Release",Creates mobile applications for Android and iOS platforms.,"[{""phaseName"":""Phase 1: React Native Foundations"",""items"":[{""title"":""[Free YouTube] Learn React Native fundamentals for Mobile App Developer"",""resourceUrl"":""https://www.youtube.com/results?search_query=React%20Native%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Mobile App Developer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured React Native course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=React%20Native"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Flutter Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Flutter with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Flutter%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Flutter references and examples"",""resourceUrl"":""https://www.google.com/search?q=Flutter%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Flutter with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Flutter"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Kotlin Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Mobile App Developer project using Kotlin"",""resourceUrl"":""https://www.youtube.com/results?search_query=Kotlin%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Mobile App Developer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Mobile%20App%20Developer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Mobile App Developer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Mobile%20App%20Developer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Mobile App Developer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Mobile%20App%20Developer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,Data Engineering,Data Engineer,"Python, SQL, ETL, Spark, Airflow, Data Warehousing",Builds data pipelines and reliable analytical data platforms.,"[{""phaseName"":""Phase 1: Python Foundations"",""items"":[{""title"":""[Free YouTube] Learn Python fundamentals for Data Engineer"",""resourceUrl"":""https://www.youtube.com/results?search_query=Python%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Data Engineer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Python course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Python"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: SQL Core Tools"",""items"":[{""title"":""[Free YouTube] Practice SQL with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=SQL%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official SQL references and examples"",""resourceUrl"":""https://www.google.com/search?q=SQL%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study SQL with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=SQL"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: ETL Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Data Engineer project using ETL"",""resourceUrl"":""https://www.youtube.com/results?search_query=ETL%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Data Engineer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Data%20Engineer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Data Engineer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Data%20Engineer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Data Engineer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Data%20Engineer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,Data Science,Data Scientist,"Python, Statistics, Machine Learning, Pandas, Experimentation, Visualization",Uses statistical and machine learning methods to model data and support decisions.,"[{""phaseName"":""Phase 1: Python Foundations"",""items"":[{""title"":""[Free YouTube] Learn Python fundamentals for Data Scientist"",""resourceUrl"":""https://www.youtube.com/results?search_query=Python%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Data Scientist skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Python course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Python"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Statistics Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Statistics with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Statistics%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Statistics references and examples"",""resourceUrl"":""https://www.google.com/search?q=Statistics%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Statistics with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Statistics"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Machine Learning Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Data Scientist project using Machine Learning"",""resourceUrl"":""https://www.youtube.com/results?search_query=Machine%20Learning%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Data Scientist"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Data%20Scientist%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Data Scientist interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Data%20Scientist%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Data Scientist interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Data%20Scientist%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,Machine Learning Engineering,Machine Learning Engineer,"Python, ML, MLOps, Feature Engineering, Model Deployment, Cloud","Builds, deploys, and monitors machine learning systems in production.","[{""phaseName"":""Phase 1: Python Foundations"",""items"":[{""title"":""[Free YouTube] Learn Python fundamentals for Machine Learning Engineer"",""resourceUrl"":""https://www.youtube.com/results?search_query=Python%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Machine Learning Engineer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Python course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Python"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: ML Core Tools"",""items"":[{""title"":""[Free YouTube] Practice ML with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=ML%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official ML references and examples"",""resourceUrl"":""https://www.google.com/search?q=ML%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study ML with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=ML"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: MLOps Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Machine Learning Engineer project using MLOps"",""resourceUrl"":""https://www.youtube.com/results?search_query=MLOps%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Machine Learning Engineer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Machine%20Learning%20Engineer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Machine Learning Engineer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Machine%20Learning%20Engineer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Machine Learning Engineer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Machine%20Learning%20Engineer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,AI Product Engineering,AI Engineer,"Python, LLMs, Prompt Engineering, RAG, APIs, Evaluation","Builds AI-powered products using LLMs, retrieval systems, and model evaluation.","[{""phaseName"":""Phase 1: Python Foundations"",""items"":[{""title"":""[Free YouTube] Learn Python fundamentals for AI Engineer"",""resourceUrl"":""https://www.youtube.com/results?search_query=Python%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the AI Engineer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Python course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Python"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: LLMs Core Tools"",""items"":[{""title"":""[Free YouTube] Practice LLMs with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=LLMs%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official LLMs references and examples"",""resourceUrl"":""https://www.google.com/search?q=LLMs%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study LLMs with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=LLMs"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Prompt Engineering Applied Project"",""items"":[{""title"":""[Free YouTube] Build a AI Engineer project using Prompt Engineering"",""resourceUrl"":""https://www.youtube.com/results?search_query=Prompt%20Engineering%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for AI Engineer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=AI%20Engineer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice AI Engineer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=AI%20Engineer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for AI Engineer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=AI%20Engineer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Business,Cybersecurity,Security Analyst,"Networking, SIEM, Threat Detection, Incident Response, Linux, Risk","Monitors, investigates, and reduces information security threats.","[{""phaseName"":""Phase 1: Networking Foundations"",""items"":[{""title"":""[Free YouTube] Learn Networking fundamentals for Security Analyst"",""resourceUrl"":""https://www.youtube.com/results?search_query=Networking%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Security Analyst skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Networking course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Networking"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: SIEM Core Tools"",""items"":[{""title"":""[Free YouTube] Practice SIEM with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=SIEM%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official SIEM references and examples"",""resourceUrl"":""https://www.google.com/search?q=SIEM%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study SIEM with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=SIEM"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Threat Detection Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Security Analyst project using Threat Detection"",""resourceUrl"":""https://www.youtube.com/results?search_query=Threat%20Detection%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Security Analyst"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Security%20Analyst%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Security Analyst interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Security%20Analyst%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Security Analyst interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Security%20Analyst%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,Cloud Infrastructure,Cloud Engineer,"AWS, Azure, GCP, Linux, Networking, Terraform, Monitoring",Designs and operates scalable cloud infrastructure.,"[{""phaseName"":""Phase 1: AWS Foundations"",""items"":[{""title"":""[Free YouTube] Learn AWS fundamentals for Cloud Engineer"",""resourceUrl"":""https://www.youtube.com/results?search_query=AWS%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Cloud Engineer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured AWS course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=AWS"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Azure Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Azure with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Azure%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Azure references and examples"",""resourceUrl"":""https://www.google.com/search?q=Azure%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Azure with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Azure"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: GCP Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Cloud Engineer project using GCP"",""resourceUrl"":""https://www.youtube.com/results?search_query=GCP%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Cloud Engineer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Cloud%20Engineer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Cloud Engineer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Cloud%20Engineer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Cloud Engineer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Cloud%20Engineer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
